tweet, sentiment, polarity
b'@__Hh__H @EbrahimMohw @karimshami1 @HUSSAINMHDI1 @Alameer_M1 @aoUa3wiYVlSCWa2 @Hashim773503509 @Fitni_salam\xe2\x80\xa6 https://t.co/ROytQAcIKM',-0.48010752688171987,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'@blairzyp_ @mcwilliams_jake @RyanLiedel @NicholsOnHockey @NJDnews exactly. i mean larsson is great but shero got ta\xe2\x80\xa6 https://t.co/0oOloQxfy5',-0.40576923076923044,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.38984854686860515,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3755372945638443,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.40205564784053255,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3766196013289047,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39612917023096766,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3660232624518347,Negative
b'@amisbell @SamHeughan @bloodwise_uk @MyPeakChallenge Great work, Alise! My #shero Georgette',-0.43130841121495295,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3960018963337558,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'@imVkohli Waah mere shero',-0.37378048780487766,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4014656915943183,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'@SharkManDan35 There was a lot to it, and if anything he did them a favor IMO. I also think shero wanted him to do it.',-0.4337662337662333,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.42598116169544825,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4026295133438,Negative
b'@mcwilliams_jake @RyanLiedel @NicholsOnHockey @NJDnews like i said shero wont be pushed over either but with the re\xe2\x80\xa6 https://t.co/5WAsozM5z3',-0.4282352941176467,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.40150487494701254,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41633875106929097,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39231458069953745,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39115448504983497,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39199754400327563,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3605235160319915,Negative
b'@DTMAboutHeart Nico or hischier if you were Shero?',-0.4337662337662333,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39802991993257586,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.42564663748507847,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.39199754400327563,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4028656971770755,Negative
b'RT @FakeOilersGM: Garth wanted to throw in an extra draft pick but I boldly told him the same thing I told Shero last year: \xe2\x80\x9cNO THANKS\xe2\x80\x9d',-0.36320885200553316,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.392816787732043,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.3884033613445388,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'@RyanLiedel @mcwilliams_jake @NicholsOnHockey @NJDnews i could see next years first rounder and a prospect but hes\xe2\x80\xa6 https://t.co/YA1cP2UAML',-0.4033707865168536,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.4096022241231832,Negative
b'RT @SheWhoVotes: I #StandWithNancy, a true SF progressive, a leader, a champion for women and LGBTQ people, a shero. https://t.co/uJX2PM6PLo',-0.41360341151386026,Negative
